32	0x20	 	12567991	10636159	eng	He called me a fag just because I'm wearing an earring.	felidad	2022-01-22 14:02:07	2022-01-22 14:02:07
33	0x21	!	26457	7748401	eng	Please don't make me go there!	Sleepyscreen	2019-01-24 05:03:25	2019-01-24 05:03:25
34	0x22	"	66858	10602446	eng	Most sinograms are not pictographic, like the sign for "tree." The majority of sinograms have a "meaning radical" together with a "sound hint radical." Sinograms are logograms.	nonong	2022-01-02 20:29:45	2022-01-02 20:29:45
35	0x23	#	34	12090458	eng	Joseph Roberts, a man who was held up as an example of "the excesses of #MeToo" because he was barred from a campus for harassing women online and in person, has been charged with murdering and dismembering his girlfriend.	shekitten	2023-10-01 10:53:16	2023-10-01 10:59:00
36	0x24	$	902	8500904	eng	The continuing uncertainty during those negotiations will cost Britain $5.5 billion in lost GDP this year alone, according to a RAND Corporation report, increasing to $13.8 billion if the negotiations continue to 2025.	Hybrid	2020-01-30 22:55:53	2020-01-30 22:55:53
37	0x25	%	795	7374644	eng	Mary saves over 80% of what she earns.	CF	2018-11-03 00:57:26	2018-11-03 00:57:26
38	0x26	&	75	11979145	eng	Tom is in A & E.	sundown	2023-08-04 00:10:58	2023-08-04 00:10:58
39	0x27	'	659169	9257534	eng	Turn on the light. I can't see a thing.	CK	2020-11-08 00:39:48	2020-11-08 00:39:48
40	0x28	(	1166	8410030	eng	Fortunately for today’s scientists, Apollo-era leaders had the foresight to save much of the 842 pounds (382 kilograms) of Moon soil and rocks retrieved by NASA astronauts 50 years ago for future generations. They figured new crops of scientists, using instruments of their time, would be able to probe the samples with unprecedented rigor.	Hybrid	2019-12-28 00:37:14	2019-12-28 00:37:14
41	0x29	)	1178	8125254	eng	The World Health Organization (WHO) is urging nations to implement a series of cost-effective, anti-tobacco measures it says will help their populations quit smoking.	Hybrid	2019-08-24 00:41:12	2019-08-24 00:41:12
42	0x2a	*	26	10478064	eng	Jana Novotna once lost a match from 5-0 40-0* up in the deciding set.	Ooneykcall	2021-11-01 22:44:54	2021-11-01 22:44:54
43	0x2b	+	93	10696078	eng	The hotline number for people crossing the border is +48 47 721 75 75.	tokzyk	2022-02-28 10:28:54	2022-02-28 10:28:54
44	0x2c	,	239169	12093754	eng	In Greenland, indigenous people who traditionally have used dog sledges to navigate the ice, now have to use boats to reach their traditional hunting grounds.	Cangarejo	2023-10-03 12:55:58	2023-10-03 12:55:58
45	0x2d	-	32122	10472238	eng	We'll build an energetically self-sufficient house.	AlanF_US	2021-10-30 18:46:59	2021-11-02 22:54:42
46	0x2e	.	1695233	10314936	eng	I wanted you to understand what I think.	DJ_Saidez	2021-09-23 04:42:09	2021-09-23 04:42:09
47	0x2f	/	2411	8790016	eng	Hindsight is 20/20.	shekitten	2020-05-25 13:38:26	2020-05-25 13:38:26
48	0x30	0	22137	6293992	eng	Makemake was discovered in March 2005 and is classified as a dwarf planet. Its color is reddish-brown, and it has no atmosphere.	Hybrid	2017-09-06 23:08:01	2017-09-06 23:08:01
49	0x31	1	12498	10134136	eng	In the 1970s, Algeria accepted socialism as its ideology.	Amastan	2021-06-28 06:38:16	2021-06-28 06:38:16
50	0x32	2	11574	7167770	eng	Both Tom and I left Australia in 2013.	CK	2018-09-17 23:55:05	2018-09-17 23:55:05
51	0x33	3	7660	2549818	eng	It cost $30.	CK	2013-07-01 00:28:50	2013-07-01 00:28:50
52	0x34	4	3222	8969642	eng	Mount Sinabung had been inactive for 400 years until it erupted in 2010.	Hybrid	2020-08-10 23:50:43	2020-08-10 23:50:43
53	0x35	5	4037	8173584	eng	In August 2018, education publisher Pearson reported that 59% of Gen Zers preferred using YouTube, compared with 55% of millennials, the generation that preceded them.	Hybrid	2019-09-08 15:24:23	2019-09-08 15:24:23
54	0x36	6	2926	7784800	eng	The 16-year-old studied for two diplomas: one from his high school in Ulysses, Kan., and the other from Harvard.	Hybrid	2019-02-21 23:36:25	2019-02-21 23:36:25
55	0x37	7	2350	9493959	eng	I've gone out. I'll be back after 7 p.m.	sundown	2020-12-17 22:14:21	2020-12-17 22:14:21
56	0x38	8	2824	8621819	eng	Astronaut Al Worden, who flew around the moon as part of the Apollo 15 mission in 1971, died in his sleep, his family said Wednesday. He was 88.	Hybrid	2020-03-19 22:02:50	2020-06-11 06:27:47
57	0x39	9	5436	8572761	eng	Bouteflika came to office in 1999.	Amastan	2020-02-23 17:28:29	2020-02-23 17:28:29
58	0x3a	:	7817	7867926	eng	And his father said to him, Thou seest that I am old, and know not the day of my death. Take thy arms, thy quiver, and bow, and go abroad; and when thou hast taken something by hunting, make me a savoury meat thereof, as thou knowest I like, and bring it that I may eat: and my soul may bless thee, before I die.	carlosalberto	2019-04-24 14:36:58	2019-04-24 14:36:58
